location,latitude,longitude
"Le Chaland, South",,
"The Vale, North",,
"Pointe aux Sables, West",,
"Le Chaland, South",,
"The Vale, North",,
"Le Chaland, South",-20.4467711,57.7026554
"The Vale, North",,
"Pointe aux Sables, West",-20.172445,57.4456179
"Le Chaland, South",-20.4467711,57.7026554
"The Vale, North",,
"Pointe aux Sables, West",-20.172445,57.4456179
"Bel Ombre, South",-20.5028362,57.4008845
"Vacoas, Center",-20.2988986,57.4927352
"Hermitage, Center",-20.2770635,57.5325005
"Helvetia, Center",-20.224264650000002,57.52748229860623
"Arsenal, North",-20.106377000000002,57.54138178278005
"Chamouny, South",-20.46537815,57.46921112433779
"Mont Piton, North",-20.1195718,57.6275412
"Trou d'Eau Douce, East",-20.2397513,57.784971
"St François, North",-19.7007142,63.4946048
"Khoyratty, North",-20.1236775,57.5501579
"Plaine Magnien, South",-20.4319913,57.6611506
"Nouvelle France, South",-20.3746336,57.5681814
"La Preneuse, West",-20.3545552,57.3655927
"Petit Raffray, North",-20.0194661,57.6261351
"Vieux Grand Port, South",-20.3746392,57.7182412
"Candos, Center",-20.2749186,57.4718267
"St Antoine, North",-20.1546148,57.50596893909705
"Pomponnette, South",,
"Calebasses, North",-20.1804565,57.5839651
"Trois Boutiques, South",-20.461835649999998,57.64254167179122
"Côte d'Or, Center",-20.2506202,57.5365859
"Forbach, North",-20.0660221,57.6321874
"Chamarel, West",-20.4253074,57.3912706
"l'Avenir, Center",-20.2169951,57.5513995
"Poste Lafayette, East",-20.1194432,57.7521984
"Ebène, Center",-20.23923985,57.481873166388624
"Camp Diable, South",-20.4669102,57.5858333
"Grande Rivière Noire, West",-20.3619924,57.3738005
"Bon Espoir, North",-20.09004165,57.6310737745342
"Piton, North",-20.0958533,57.6349749
"Pierrefonds, West",-20.2905876,57.4418503
"Quatre Bornes, Center",-20.2643015,57.4800061
"Constance, East",-20.1817009,57.7144237
"Forest Side, Center",-20.3242897,57.528118577236626
"Palmar, East",-20.2208255,57.7755690709278
"Belle Vue Harel, North",-20.0668456,57.6043439
"Baie du Cap, South",-20.4925841,57.3795792
"New Grove, South",-20.412331,57.6185264
"Quartier Militaire, Center",-20.2464775,57.5971562
"Camp Fouquereau, Center",,
"Gris Gris, South",-20.5245202,57.531898966540794
"Roches Noires, North",-20.1110998,57.7181573
"Verdun, Center",-20.2320196,57.5509758
"Pailles, Center",-20.1889589,57.487645
"Roche Terre, North",-20.020207,57.6522719
"Mon Désert, South",-20.45026,57.6779264
"Ville Noire, South",-20.4057819,57.7016008
"Port Louis, North",-20.1624522,57.5028044
"Mon Choisy, North",-20.0224334,57.5537396
"Beaux Songes, West",-20.2815278,57.4250173
"Pamplemousses, North",-20.098772750000002,57.57444720660946
"Mon Loisir, North",,
"Bras d'Eau, East",-20.141246549999998,57.74470181532625
"Beau Champ, East",-20.5023185,57.4373818
"Roches Brunes, Center",-20.2359491,57.4596052
"Plaine Lauzun, North",-20.1727502,57.4797908
"Haute Rive, North",,
"Petite Rivière Noire, West",-20.3897042,57.3819621
"Poste de Flacq, East",-20.1682145,57.7349813
"The Mount, North",,
"Castel, Center",-20.295165,57.5187318
"Péreybère, North",-19.9949684,57.591091
"Choisy, East",-20.4830722,57.3796444
"La Cambuse, South",-20.452134450000003,57.70169156914115
"Terre Rouge, North",-20.2474727,57.5194884
"St Paul, Center",-20.2902725,57.5098074
"Pointe aux Piments, North",-20.059123,57.5228465
"Rose Belle, South",-20.4031031,57.6024143
"Albion, West",-20.2077611,57.4139421
"Savannah, South",-20.4876795,57.6156337
"Trou aux Biches, North",-20.0362961,57.5447033
"Britannia, South",-20.4527923,57.5635574
"Fond du Sac, North",-20.0461513,57.5861766
"Sottise, North",-20.02252215,57.58522760226423
"Pointe d'Esny, South",-20.4324915,57.72653845383411
"Tyack, South",-20.4795702,57.5580773
"Pointe aux Biches, North",-20.0477043,57.5277999
"Solférino, Center",-20.2885725,57.4785295
"Charmoze, North",,
"Camp Levieux, Center",-20.2413668,57.4541328
"St Jean, Center",-20.2618039,57.4824321
"Melville, North",-20.01543045,57.68184422245116
"d'Epinay, North",-20.1300276,57.5942356
"Phoenix, Center",-20.2817857,57.5025288
"St Pierre, Center",-20.2249021,57.5383776
"Ilot Fortier, West",-20.38493155,57.36942700962516
"Goodlands, North",-20.0350701,57.6589224
"Riche Terre, North",-20.13877905,57.51682927619764
"Beau Vallon, South",-20.427191999999998,57.70985828306016
"Le Bouchon, South",-20.4682646,57.6807815
"Balaclava, North",-20.1005954,57.51345790191522
"Mahébourg, South",-20.4111041,57.7060616
"Belle Rose (Centre), Center",-20.40061515,57.596760194459634
"Sorèze, North",-20.2049059,57.4847187
"Palma, West",-20.28171,57.4526889
"Cassis, North",-20.1635045,57.4909562
"Rose Hill, Center",-20.2413538,57.4744083
"Bain Boeuf, North",-19.98686245,57.60640912916417
"Gros Bois, South",-20.4413258,57.6132553
"Petit Camp, Center",-20.274164650000003,57.49975930586329
"Floréal, Center",-20.3110617,57.5134651
"Mont Mascal, North",,
"La Louise, Center",-20.2709427,57.4749635
"Surinam, South",-20.5122913,57.5096834
"Flacq, East",-20.2218172,57.720941101603415
"Les Salines (Port Louis), North",-20.1599097,57.4881084
"Bagatelle, Center",-20.2226848,57.4944431
"Tamarin, West",-20.3292161,57.3776792
"Beau Bassin, Center",-20.2262814,57.4674386
"Sébastopol, East",-20.2906555,57.6926179
"Coromandel, Center",-20.1962831,57.4694395
"Dagotière, Center",-20.2439312,57.5649753
"Mare d'Albert, South",-20.423441,57.6318553
"Le Hochet, North",-20.1387838,57.531517456468535
